"OriginalAddress1","PermitNum","PermitClass","PermitClassMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","AppliedDate","EstProjectCost","IssuedDate","ExpiresDate","StatusCurrent","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"12029 12TH AVE NW","6906450-CN","Single Family/Duplex","Residential","New","Establish use as single-family residence per land use code. Construct a one-family dwelling  per plans.","1","0","1","2022 Dec 30 12:00:00 AM","703,150","2024 Dec 17 12:00:00 AM","2026 Jun 17 12:00:00 AM","Issued","SEATTLE","WA","98177",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6906450-CN","47.71645567","-122.37381089","POINT (-122.37381089 47.71645567)"
"3246 25TH AVE W","6853578-CN","Single Family/Duplex","Residential","New","Construct additions & substantial alterations to existing single-family residence  per plan","0","0","0","2021 Nov 05 12:00:00 AM","320,266","2022 Mar 17 12:00:00 AM","2026 Sep 17 12:00:00 AM","Issued","SEATTLE","WA","98199",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6853578-CN","47.6499054","-122.38837934","POINT (-122.38837934 47.6499054)"
"805 S SULLIVAN ST","6891015-CN","Single Family/Duplex","Residential","New","Construct new South two family residence  per plan ( Establish use as single family residence withAttached accessory Dwelling unit and construct (3) two family residence  review and processfor 3 CN's under 6852200-CN)","2","0","2","2022 Mar 29 12:00:00 AM","267,719","2024 Jul 03 12:00:00 AM","2026 Jan 03 12:00:00 AM","Issued",,"WA",,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6891015-CN","47.52695432","-122.32256365","POINT (-122.32256365 47.52695432)"
"7971 C M L KING JR WAY S","6902067-CN","Single Family/Duplex","Residential","New","Construct West one-family dwelling  per plan. (Establish use as single family residence with (1) AADU and (1) DADU  construct new two-family dwelling and new one-family dwelling  per plan. Reviews and processing for 2 C/N's under 6855941-CN).","1","0","1","2022 May 27 12:00:00 AM","112,333","2023 May 09 12:00:00 AM","2026 May 09 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6902067-CN","47.52960373","-122.28128264","POINT (-122.28128264 47.52960373)"
"2402 S EDDY ST","6920054-CN","Single Family/Duplex","Residential","New","Establish use as single family residence with attached accessory dwelling unit per land use code. Construct two new two family dwellings  per plan.","1","1","2","2023 Sep 08 12:00:00 AM","810,264","2025 Oct 23 12:00:00 AM","2027 Apr 23 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6920054-CN","47.54555237","-122.30213718","POINT (-122.30213718 47.54555237)"
"3455 CASCADIA AVE S","6906961-CN","Single Family/Duplex","Residential","New","Establish use as single family residence with an attached accessory dwelling unit (AADU) and construct new two-family dwelling with portions of existing foundation to remain  per plan","2","0","2","2022 Oct 21 12:00:00 AM","690,254","2023 Aug 15 12:00:00 AM","2026 Aug 15 12:00:00 AM","Issued","SEATTLE","WA","98144",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6906961-CN","47.57085404","-122.2832426","POINT (-122.2832426 47.57085404)"
"3607 NE 135TH ST","6891319-CN","Single Family/Duplex","Residential","New","Construct DADU  per standard plan","1","0","1","2022 Mar 30 12:00:00 AM","92,073","2022 May 04 12:00:00 AM","2026 Nov 04 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6891319-CN","47.72618975","-122.28937108","POINT (-122.28937108 47.72618975)"
"840 NW MARKET ST","6902311-CN","Multifamily","Residential","New","Construct new multifamily building with (2) Live/Work and (4) Townhouse Units  and occupy  per plan.","4","0","4","2022 Nov 21 12:00:00 AM","1,669,888","2023 Aug 22 12:00:00 AM","2026 Aug 22 12:00:00 AM","Issued","SEATTLE","WA","98107",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6902311-CN","47.66892613","-122.36807165","POINT (-122.36807165 47.66892613)"
"10400 EAST MARGINAL WAY S","6920422-CN","Commercial","Non-Residential","New","Establish use as warehouse with surface parking and loading dock  per land use code.  Construct as warehouse building (Prologis Building #3) and mass grading for approximately 25 000 cubic yards of material for building  loading dock and parking area  occupy per plan.","0","0","0","2023 Aug 09 12:00:00 AM","11,739,044","2025 Sep 16 12:00:00 AM","2027 Mar 16 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6920422-CN","47.51123021","-122.28990215","POINT (-122.28990215 47.51123021)"
"11229 GREENWOOD AVE N","6920688-CN","Multifamily","Residential","New","Construct west townhouse structure  per plan. (Construct (2)townhouse structures  per plan / Review and process for two CN records under 6849703-CN)","4","0","4","2023 Oct 19 12:00:00 AM","1,309,247","2024 Aug 12 12:00:00 AM","2026 Feb 12 12:00:00 AM","Issued","SEATTLE","WA","98133",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6920688-CN","47.71153928","-122.35606912","POINT (-122.35606912 47.71153928)"
"4406 37TH AVE SW","6854649-CN","Single Family/Duplex","Residential","New","Construct Middle Single family residence with attached accessory dwelling unit (AADU)  per plan (Establish use as and construct 3 single-family residences with an attached accessory dwelling unit   Reviews and processing for 3 CN's under 6825339)","2","0","2","2021 Aug 23 12:00:00 AM","186,052","2023 Feb 01 12:00:00 AM","2026 Feb 01 12:00:00 AM","Issued","SEATTLE","WA","98126",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6854649-CN","47.56440421","-122.37845923","POINT (-122.37845923 47.56440421)"
"856 S DONOVAN ST","6892691-CN","Single Family/Duplex","Residential","New","Construct southwest one-family dwelling (DADU 1)  per plan.  (Establish use as 3 single family residences with 1 attached and 2 detached accessory dwelling units  and construct 4 one-family and 1 two-family dwellings.  Reviews and processing for 5 construction records under 6869469-CN)","1","0","1","2022 Apr 06 12:00:00 AM","127,962","2023 Aug 24 12:00:00 AM","2026 Aug 24 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6892691-CN","47.52576775","-122.32054922","POINT (-122.32054922 47.52576775)"
"7977 C M L KING JR WAY S","6903279-CN","Single Family/Duplex","Residential","New","Construct new one-family dwelling  per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU & DADU) and construct one and two family dwellings  per plan.  Review and process for two CN records under 6855945-CN))","1","0","1","2022 Jun 03 12:00:00 AM","164,523","2023 Sep 08 12:00:00 AM","2026 Sep 08 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6903279-CN","47.52958735","-122.28149844","POINT (-122.28149844 47.52958735)"
"7979 C M L KING JR WAY S","6903342-CN","Single Family/Duplex","Residential","New","Construct new one-family dwelling  per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU & DADU) and construct one and two family dwellings  per plan.  Review and process for two CN records under 6854041-CN)","1","0","1","2022 Jun 03 12:00:00 AM","164,523","2023 Sep 06 12:00:00 AM","2026 Sep 06 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6903342-CN","47.52960121","-122.28172926","POINT (-122.28172926 47.52960121)"
"4311 7th AVE NE","6909673-CN","Multifamily","Residential","New","Establish use as apartment building  per land use code.  Construct new multi-family building  occupy per plans.","10","0","10","2023 Jan 31 12:00:00 AM","2,089,859","2024 Aug 09 12:00:00 AM","2026 Feb 09 12:00:00 AM","Issued",,,,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6909673-CN","47.65990963","-122.32115176","POINT (-122.32115176 47.65990963)"
"7428 EAST GREEN LAKE DR N","6925279-CN","Single Family/Duplex","Residential","New","Establish use as single-family per land use code. Construct one-family dwelling over portions of existing foundation  per plan.","1","0","1","2024 Jul 26 12:00:00 AM","559,683","2025 Jan 17 12:00:00 AM","2026 Jul 17 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6925279-CN","47.682513","-122.32837814","POINT (-122.32837814 47.682513)"
"1548 S SHELTON ST","6910271-CN","Single Family/Duplex","Residential","New","Construct south two-family dwelling. [Establish use as single-family residence with attached accessory dwelling unit [AADU] and detached accessory dwelling unit [DADU] and construct one- and two-family dwellings  per plan. Review and processing for (2) construction records under 6910271-CN.]","4","0","4","2022 Oct 17 12:00:00 AM","464,929","2023 May 01 12:00:00 AM","2026 May 01 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6910271-CN","47.55824322","-122.31145646","POINT (-122.31145646 47.55824322)"
"9015 14TH AVE SW","6875156-CN","Single Family/Duplex","Residential","New","Construct SW single family residence (Unit D)  per plan. (Establish use as and construct (4) new single family residences and construct alterations to existing single family residence to remove attached garage  existing single family to remain  review and process for 5 CN's under 6818108-CN).","1","0","1","2021 Dec 28 12:00:00 AM","243,840","2023 May 17 12:00:00 AM","2026 May 17 12:00:00 AM","Issued","SEATTLE","WA","98106",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6875156-CN","47.52230325","-122.35326391","POINT (-122.35326391 47.52230325)"
